# Vigil IOC: Malicious signing certificate hashes
# Format: hash|threat_name|hash_type
002DD372C94E80600C7C60192CBD701A3C3B87EE|RealtimeSpy|SHA1
00F618C4C43C28B107DAB8F5641AD00D3A774AFD|Buhsam|SHA1
018D06B4A5679892572CB9DA44BA1A8C1E3B68A5|MeuSpy|SHA1
01E49C220A9776D4978C1D28D6C32F86D145B8AE|ShadowSpy|SHA1
01EFA0C8FAE43215125ACA78308EFB1768FB4049|AndroidPolice|SHA1
021985CEA754D8E58D538D2FEDFF6B1565A6B45B|mSpy|SHA1
021A3F097EDA780798DF5ECB16EF338C08236847|MobileTrackerFree|SHA1
0387135D057AEAA0F8BCFCE2AFA84D9BD1FA6F30|AndroidPolice|SHA1
0568E0400308CBFC58E11A324EA233F5B2E923BF|MobileTrackerFree|SHA1
05B23C7E9156A4C55768DA27936FF2D7AF09BB8F|Spymie|SHA1
06A49FE1347C7D2E596DF2F08B8C235C00975AF8|XDSpy|SHA1
07525D7D2E83CE865F98E1B9C0F6095B1C29D48A|AppSpy|SHA1
07906D1FA933730B8EB44F03910C88FDAC2C0135|EasyLogger|SHA1
08ACB92D02487EBC0CEA42B672A631BA7EA59ADF|TalkLog|SHA1
09273A6004A46078991F3FBA2A4868DA26DBB508|MobileTrackerFree|SHA1
09DCBFDB7C7262F143089C5493435AB07564FD67|MobileTrackerFree|SHA1
0AD33649F0D0532B5EB0A36A81712962AA79BF54|AppSpy|SHA1
0AF3219D3A9525CB4A618215DB7A29CBFD9FFE78|MeuSpy|SHA1
0B6C1B010FBEA4316EB01602F71CDD6A8F365023|FlexiSpy|SHA1
0C01AEB7346C700D02613EBA513BD40E87A182F8|CallSMSTracker|SHA1
0C422F0025F866C311DF61A7549FCD519683898D|iKeyMonitor|SHA1
0C5AB4D05A2C804D3A4D0472CEAC50B89833E6E4|AndroidPolice|SHA1
0D025A887A1546585D9BBA6F023F42B8BE0274E1|AndroidPolice|SHA1
0DCD7C9CC6A76AD28D7D992C4EF3DF2F768EA473|MonitorUltra|SHA1
0E0BE37D31CA21F19095FC38F9F1BEF310CE227C|Hoverwatch|SHA1
0ECD5FD80682776D804715AB5B8504DAF59A4B54|Ahmyth|SHA1
0F64B6EBB49849AC685FE5DF605908594623368E|AndroidPolice|SHA1
0FB6108D34289681BA0181ED9A4350514EB07665|MobileTrackerFree|SHA1
0FB6643902E891C230F6E6662083442EEA1F16CE|OneSpy|SHA1
1128939E0D8B8BAEAB14C41AEBFAA100C319AD8F|MobileTrackerFree|SHA1
114C4DC0F254EFD81F0AC7F41DBE882FFDB2E127|MeuSpy|SHA1
123C09B261DFA0F67D817E9BA079942830C31D54|Spyone|SHA1
14A071616D4BC37F08BE865D375101F4C963777A|OwnSpy|SHA1
14EE7779B2E84A0FF1309DEA72881670D78E98AB|AndroidPolice|SHA1
159B64B29BC8842ACDF8022B70730B13E288044B|BrunoEspiao|SHA1
16226330EBB138A5D47913151827A86567AD9CD4|AndroidPolice|SHA1
16254E7CBDFEC82B6CCE599DFCE6A6E84CF25504|MobileTrackerFree|SHA1
18C94FAB82F77F89546600F84D2D2B48A0C0B927|MeuSpy|SHA1
18CD402CC43DF0BC03E9951B0F843DC4B1552DC6|CouplerTracker|SHA1
1988EDEA389D42983CEC8B5F8A9C27AE49F800F9|Snoopza|SHA1
1A6D10E15280C6A938EED9BEF53A31DA0CEBA45A|AndroidPolice|SHA1
1BB7F1E962C35F00BE2EF97A64C753CCA0993637|AndroidPolice|SHA1
1C6E171D3A6E51947DF9E83946BB115ED4A41C6A|AbsoluTrack|SHA1
1CD94B411B5D4D2F5F525D775876FF0993B4B716|AndroidPolice|SHA1
1CE722F401C3FA8FE498FF824669C0007A200AA9|MobileTrackerFree|SHA1
1DB0D66C1D21DD4B185D03B13D6CF620E4FACBAA|TrackingSmartphone|SHA1
1E15B0D27C0551061885340A3990D52A93F646B8|SMSForward|SHA1
