# Vigil IOC: C2 and tracking domains
# Format: domain|threat_name|category
11111.pl|Spyone|distribution
12d60.appspot.com|AndroidPolice|c2
12d60.firebaseio.com|AndroidPolice|c2
13-5.org|AndroidPolice|c2
13-5.ru|AndroidPolice|c2
1688-global.cn-hongkong.log.aliyuncs.com|MobileTracker|tracking
178.63.71.15|HelloSpy|distribution
1ca43.appspot.com|TheTruthSpy|c2
1drivestorage.com|2022_08_metas_adversarial_threat_report_q2|c2
1g7kvrv.xyz|MobileTracker|tracking
1st-smtp2go.email|2021_07_taking_action_against_hackers_in_iran|c2
1topspy.com|HelloSpy|c2
1topspy.com|HelloSpy|tracking
20minuts.com|2022_09_removing_coordinated_inauthentic_behavior_from_china_and_russia|c2
24.com|201512_PackRAT|c2
2fapass.club|MobileTracker|tracking
2fnoqifq.com|MobileTracker|tracking
2g8cvdii.com|MobileTracker|tracking
2j1i9uqw.oss-eu-central-1.aliyuncs.com|MobileTracker|tracking
2mata.net|AndroidPolice|tracking
2mblk.com|202006_DarkBasin|c2
2nd-smtp2go.email|2021_07_taking_action_against_hackers_in_iran|c2
2oafxcbq.xyz|MobileTracker|tracking
2y4nothing.xyz|2021_12_taking_action_against_surveillance_for_hire|c2
3rd-smtp2go.email|2021_07_taking_action_against_hackers_in_iran|c2
4-dot-all-tracker.appspot.com|AllTracker|c2
404mobi.com|MobileTracker|tracking
4jslg.11111.pl|Spyone|distribution
4mblk.com|202006_DarkBasin|c2
4th-smtp2go.email|2021_07_taking_action_against_hackers_in_iran|c2
519c195138.xyz|2021_12_taking_action_against_surveillance_for_hire|c2
51ginkgo.com|MobileTracker|tracking
5m5.io|2021_12_taking_action_against_surveillance_for_hire|c2
5rfvbnji9.com|MobileTracker|tracking
6-dot-all-tracker.appspot.com|AllTracker|c2
6287970dd9.era3000.com|OwnSpy|distribution
678ikmbtui.com|MobileTracker|tracking
6kvses.com|MobileTool|c2
7hn706pwsj.execute-api.ap-southeast-1.amazonaws.com|MobileTracker|tracking
7lc6jc.xyz|MobileTracker|tracking
7nvdx0.xyz|MobileTracker|tracking
83dd4.appspot.com|iKeyMonitor|c2
8916f.appspot.com|BlurSpy|c2
89685.firebaseio.com|AndroidPolice|c2
8balwalz1i.execute-api.us-east-2.amazonaws.com|MobileTracker|tracking
8sghnct.xyz|MobileTracker|tracking
97.logger.mobi|EasyLogger|c2
Market.dedyn.io|2022_04_metas_adversarial_threat_report_q1|c2
a-qa3.thd.cc|mSpy|c2
a-spy.com|RealtimeSpy|c2
a-spy.com|RealtimeSpy|tracking
a-video.vip|MobileTracker|tracking
a.hdmodecam.live|MobileTracker|tracking
a.hw.cab|Hoverwatch|c2
a.hwa.cab|Hoverwatch|c2
a.pricetaco.de|MobileTracker|tracking
a.syncvch.com|Hoverwatch|c2
a.thd.cc|mSpy|c2
a1.etrality.com|MobileTracker|tracking
a2.etrality.com|MobileTracker|tracking
a342f.appspot.com|Unisafe|c2
a71f4.firebaseio.com|HighsterMobile|c2
aalaan.tv|201608_NSO_Group|c2
aax.me|201605_Stealth_Falcon|c2
abforbrowser.com|MobileTracker|tracking
ablyazovangels.com|202006_DarkBasin|c2
ablyazovcog.com|202006_DarkBasin|c2
ablyazovcrimestory.com|202006_DarkBasin|c2
ablyazovcrimesyndicate.com|202006_DarkBasin|c2
ablyazovcriminalgang.com|202006_DarkBasin|c2
ablyazovcriminals.com|202006_DarkBasin|c2
ablyazovgang.com|202006_DarkBasin|c2
ablyazovmafia.com|202006_DarkBasin|c2
ablyazovorganisedcrime.com|202006_DarkBasin|c2
absolutesoftsystem.in|AbsoluTrack|c2
absolutesoftsystem.in|AbsoluTrack|tracking
absolutestoreindia.com|AbsoluTrack|tracking
ac.iprocam.xyz|MobileTracker|tracking
ac480.firebaseio.com|HighsterMobile|c2
account-google.serveftp.com|201702_NilePhish|c2
account-gooogle.info|201801_SpyingOnABudget|c2
account.cellphone-remote-tracker.com|HelloSpy|c2
account.childsafetytrackerapp.com|EasyLogger|c2
account.logger.mobi|EasyLogger|c2
account.mobile-remote-tracker.com|HelloSpy|tracking
account.refog.com|Hoverwatch|c2
account.spytomobile.com|AndroidPolice|tracking
account.trackerplus.ru|AndroidPolice|c2
accountgoogle.firewall-gateway.com|201603_Shifting_Tactics|c2
accounts-email.space|201801_SpyingOnABudget|c2
accounts-goog-le.com|2021_04_taking_action_against_hackers_in_palestine|c2
accounts-goog1e.com|201801_SpyingOnABudget|c2
accounts-goog1e.info|201801_SpyingOnABudget|c2
accounts-goog1e.in|201801_SpyingOnABudget|c2
accounts-google.cc|201801_SpyingOnABudget|c2
accounts-google.co.in|201801_SpyingOnABudget|c2
accounts-google.firewall-gateway.com|201603_Shifting_Tactics|c2
accounts-google.gq|201801_SpyingOnABudget|c2
accounts-google.info|201801_SpyingOnABudget|c2
accounts-gooog1e.asia|201801_SpyingOnABudget|c2
accounts-gooog1e.info|201801_SpyingOnABudget|c2
accounts-gooog1e.online|201801_SpyingOnABudget|c2
accounts-gooog1e.space|201801_SpyingOnABudget|c2
accounts-mail.space|201801_SpyingOnABudget|c2
accounts-mailbox.space|201801_SpyingOnABudget|c2
accounts.cam|2021_07_taking_action_against_hackers_in_iran|c2
accounts.gooog1e.com|201801_SpyingOnABudget|c2
accounts.loginshare.info|MobileTracker|tracking
accounts.mx|201608_NSO_Group|c2
accounts.pgv4.com|SpyApp|tracking
accounts.spyapp.ro|SpyApp|tracking
accountsgoog1e.info|201801_SpyingOnABudget|c2
accountsgoogle.firewall-gateway.com|201603_Shifting_Tactics|c2
accountsgoogles.firewall-gateway.com|201603_Shifting_Tactics|c2
acd.kcpro.ga|MobileTracker|tracking
activate-google.servehttp.com|201702_NilePhish|c2
activate-your-account-now.com|MobileTracker|tracking
activation.spytec.com|SpyTec|tracking
activesessions.me|2021_07_taking_action_against_hackers_in_iran|c2
actv8technologies.com|MobileTracker|tracking
ad.iprocam.xyz|MobileTracker|tracking
ad.mobnv.com|MobileTracker|tracking
adblox.org|MobileTracker|tracking
adbsc.flyermobi.com|MobileTracker|tracking
adbsc.ikmytech.com|MobileTracker|tracking
adbsdk.flyermobi.com|MobileTracker|tracking
addons.news|2021_12_taking_action_against_surveillance_for_hire|c2
adeco.adecosystems.com|MobileTracker|tracking
adhostingcache.com|201605_Stealth_Falcon|c2
adhostingcaches.com|201605_Stealth_Falcon|c2
adibjan.net|2021_12_taking_action_against_surveillance_for_hire|c2
adjust-local-settings.com|201608_NSO_Group|c2
admin.dofunapps.com|MobileTracker|tracking
admin.fenced.ai|Fenced|tracking
admin.flexispy.com|FlexiSpy|c2
admin.nemospy.com|AndroidPolice|tracking
admin.surf-admin.link|MobileTracker|tracking
admin.webdetetive.com.br|OwnSpy|tracking
adobes.software|2021_07_taking_action_against_hackers_in_iran|c2
ads.dofunapps.com|MobileTracker|tracking
ads.flyermobi.com|MobileTracker|tracking
adserver.hahamobi.com|MobileTracker|tracking
adservices.gr.com|2021_12_taking_action_against_surveillance_for_hire|c2
adultpcz.xyz|2021_12_taking_action_against_surveillance_for_hire|c2
advance-chat-app.appspot.com|2021_04_taking_action_against_hackers_in_palestine|c2
advance-chat-app.firebaseio.com|2021_04_taking_action_against_hackers_in_palestine|c2
advanced-files.club|2021_04_taking_action_against_hackers_in_palestine|c2
advertsservices.com|2021_12_taking_action_against_surveillance_for_hire|c2
advfb.xyz|2021_12_taking_action_against_surveillance_for_hire|c2
ae.mveditor.xyz|MobileTracker|tracking
aecodero.com|MobileTracker|tracking
af.to.123games.club|MobileTracker|tracking
aff.fortunnecat.com|MobileTracker|tracking
affiliate.spyera.com|SpyEra|tracking
affiliatedomainservice.com|202006_DarkBasin|c2
affinemainung.fun|2022_09_removing_coordinated_inauthentic_behavior_from_china_and_russia|c2
affinemainung.online|2022_09_removing_coordinated_inauthentic_behavior_from_china_and_russia|c2
affinemainung.space|2022_09_removing_coordinated_inauthentic_behavior_from_china_and_russia|c2
affinemainung.website|2022_09_removing_coordinated_inauthentic_behavior_from_china_and_russia|c2
affinemaiunng.fun|2022_09_removing_coordinated_inauthentic_behavior_from_china_and_russia|c2
affinemaiunng.online|2022_09_removing_coordinated_inauthentic_behavior_from_china_and_russia|c2
affinemaiunng.site|2022_09_removing_coordinated_inauthentic_behavior_from_china_and_russia|c2
affinemaiunng.space|2022_09_removing_coordinated_inauthentic_behavior_from_china_and_russia|c2
affinemaiunng.website|2022_09_removing_coordinated_inauthentic_behavior_from_china_and_russia|c2
affinemanung.fun|2022_09_removing_coordinated_inauthentic_behavior_from_china_and_russia|c2
affinemanung.site|2022_09_removing_coordinated_inauthentic_behavior_from_china_and_russia|c2
affinemanung.website|2022_09_removing_coordinated_inauthentic_behavior_from_china_and_russia|c2
affineminung.fun|2022_09_removing_coordinated_inauthentic_behavior_from_china_and_russia|c2
affineminung.online|2022_09_removing_coordinated_inauthentic_behavior_from_china_and_russia|c2
affineminung.site|2022_09_removing_coordinated_inauthentic_behavior_from_china_and_russia|c2
affinemiunng.fun|2022_09_removing_coordinated_inauthentic_behavior_from_china_and_russia|c2
affinemiunng.site|2022_09_removing_coordinated_inauthentic_behavior_from_china_and_russia|c2
affinemiunng.space|2022_09_removing_coordinated_inauthentic_behavior_from_china_and_russia|c2
affinemiunng.website|2022_09_removing_coordinated_inauthentic_behavior_from_china_and_russia|c2
affise.app|2021_12_taking_action_against_surveillance_for_hire|c2
affliatedomainservice.com|202006_DarkBasin|c2
ai-pilot.cn-shanghai.log.aliyuncs.com|MobileTracker|tracking
ai.parentalsearch.xyz|MobileTracker|tracking
airlineadverts.com|201605_Stealth_Falcon|c2
aispyer.com|AiSpyer|tracking
aivideoedit.com|AiSpyer|tracking
akhbar-arabia.com|201810_TheKingdomCameToCanada|c2
aki.kcpro.ga|MobileTracker|tracking
aksoft.gq|PhoneSpy|tracking
alaiblompass.com|MobileTracker|tracking
alawaeltech.com|201608_NSO_Group|c2
alb.bearclod.com|MobileTracker|tracking
alert.bk128.com|MobileTracker|tracking
alert.bk128.com|XNSpy|c2
alert.xiz4me.com|MobileTracker|tracking
alert.xiz4me.com|XNSpy|c2
alharbitelecom.co|2022_04_metas_adversarial_threat_report_q1|c2
alhds.net|2021_07_taking_action_against_hackers_in_iran|c2
ali.panspy.com|PanSpy|c2
alidocs.dingtalk.com|MobileTracker|tracking
alishatnixon.site|2021_04_taking_action_against_hackers_in_palestine|c2
all-sales.info|201810_TheKingdomCameToCanada|c2
all-tracker.appspot.com|AllTracker|c2
all-tracker.firebaseio.com|AllTracker|c2
allaboutiot.website|202006_DarkBasin|c2
alldrings.online|2022_09_removing_coordinated_inauthentic_behavior_from_china_and_russia|c2
alldrings.pw|2022_09_removing_coordinated_inauthentic_behavior_from_china_and_russia|c2
alldrings.space|2022_09_removing_coordinated_inauthentic_behavior_from_china_and_russia|c2
alldrings.website|2022_09_removing_coordinated_inauthentic_behavior_from_china_and_russia|c2
alledrigns.online|2022_09_removing_coordinated_inauthentic_behavior_from_china_and_russia|c2
alledrigns.pw|2022_09_removing_coordinated_inauthentic_behavior_from_china_and_russia|c2
alledrigns.site|2022_09_removing_coordinated_inauthentic_behavior_from_china_and_russia|c2
alledrigns.space|2022_09_removing_coordinated_inauthentic_behavior_from_china_and_russia|c2
alledrigns.website|2022_09_removing_coordinated_inauthentic_behavior_from_china_and_russia|c2
alledrngs.online|2022_09_removing_coordinated_inauthentic_behavior_from_china_and_russia|c2
alledrngs.pw|2022_09_removing_coordinated_inauthentic_behavior_from_china_and_russia|c2
alledrngs.space|2022_09_removing_coordinated_inauthentic_behavior_from_china_and_russia|c2
alledrngs.website|2022_09_removing_coordinated_inauthentic_behavior_from_china_and_russia|c2
allelpcoonmber.com|MobileTracker|tracking
allerdigns.online|2022_09_removing_coordinated_inauthentic_behavior_from_china_and_russia|c2
allerdigns.pw|2022_09_removing_coordinated_inauthentic_behavior_from_china_and_russia|c2
allerdigns.site|2022_09_removing_coordinated_inauthentic_behavior_from_china_and_russia|c2
allerdigns.space|2022_09_removing_coordinated_inauthentic_behavior_from_china_and_russia|c2
allerdigns.website|2022_09_removing_coordinated_inauthentic_behavior_from_china_and_russia|c2
alljazeera.co|201608_NSO_Group|c2
alltracker.org|AllTracker|c2
alltracker.org|AllTracker|tracking
almal-news.com|MobileTracker|tracking
almasryelyuom.com|2021_12_taking_action_against_surveillance_for_hire|c2
alog.umeng.com|Cocospy|c2
alospy.com|HelloSpy|tracking
alpineai.uk|2021_12_taking_action_against_surveillance_for_hire|c2
alraeeenews.com|2021_12_taking_action_against_surveillance_for_hire|c2
alraeesnews.net|2021_12_taking_action_against_surveillance_for_hire|c2
alter757.info|mSpy|c2
altsantiri.news|2021_12_taking_action_against_surveillance_for_hire|c2
alttaeb.info|2021_04_taking_action_against_hackers_in_palestine|c2
aly.bearclod.com|MobileTracker|tracking
alz.bearclod.com|MobileTracker|tracking
amanda-hart.website|2021_04_taking_action_against_hackers_in_palestine|c2
amazing.lab|2021_12_taking_action_against_surveillance_for_hire|c2
amazingvideoeditor.club|MobileTracker|tracking
ami0wned.com|MobileTracker|tracking
amiowned.com|MobileTracker|tracking
amon.android-monitor.ru|AndroidPolice|c2
amon.android-monitor.ru|AndroidPolice|tracking
amon1.android-monitor.ru|AndroidPolice|c2
amon1.android-monitor.ru|AndroidPolice|tracking
amyacunningham.us|2021_04_taking_action_against_hackers_in_palestine|c2
analytics.hahamobi.com|MobileTracker|tracking
analytics.localytics.com|MobileTracker|tracking
analytics.rayjump.com|MobileTracker|tracking
analytics.salmonads.com|MobileTracker|tracking
analytics.trackview.net|TrackView|c2
analyzeryandex.000webhostapp.com|2022_04_metas_adversarial_threat_report_q1|c2
anayurt.net|2021_03_taking_action_against_hackers_in_china|c2
anayurt.net|MobileTracker|tracking
ancienthistory.xyz|2021_12_taking_action_against_surveillance_for_hire|c2
