# Vigil IOC: Malicious file hashes
# Format: hash|threat_name|hash_type
001316808aa7108b467e8ecc06139c2e|201803_BadTraffic|MD5
01dec1b1d0760d5a1a562edcfeb478d1|201512_PackRAT|MD5
01fe88068e43c2276f7d8bbf54824f0f|2021_03_taking_action_against_hackers_in_china|MD5
029ba5f0f6997bc36a094e86848a5b82|201707_InsiderInfo|MD5
03de278ec4c4855b885520a377f8b1df462a1d8a4b57b492b3b052aafe509793|2021_04_taking_action_against_hackers_in_palestine|SHA256
05320c7348c156f0a98907d2b1527ff080eae36437d58735f2822d9f42f5d273|2021_04_taking_action_against_hackers_in_palestine|SHA256
0540051935145fb1e3f9361ec55b62a759ce6796c1f355249805d186046328dc|2021_04_taking_action_against_hackers_in_palestine|SHA256
054bad7ec0e19cec931078d45382fee6|201808_FamiliarFeeling|MD5
058a5d47f8834fccfff8971f0544e387|201808_FamiliarFeeling|MD5
07532dea34c87ea2c91d2e035ed5dc87|2022_08_metas_adversarial_threat_report_q2|MD5
07d495245814c5c4996422b4b2f52473|201905_EndlessMayfly|MD5
087bffa8a570079948310dc9731c5709|201611_KeyBoy|MD5
08a3bb5b220eb1e0dc2ecccbbc6859f5|201512_PackRAT|MD5
08b8b4787f3ce90c6c1483cc127b1cdc|201803_BadTraffic|MD5
08d971f5f4707ae6ea56ed2f243c38b7|201803_BadTraffic|MD5
09ddd70517cb48a46d9f93644b29c72f|201604_UP007_SLServer|MD5
0ae0038ffe8cf5c3170734a71ff2213d|201512_PackRAT|MD5
0c7e55509e0b6d4277b3facf864af018|201611_KeyBoy|MD5
0d13e403303b52edae6beb76a6fe7ed454f340aae1246b9a3f55ca728da2d6aa|201909_MissingLink|SHA256
0d2ee9ade24163613772fdda201af985d852ab506e3d3e7f07fb3fa8b0853560|201909_MissingLink|SHA256
10748ca7648d26316b4857b6139ca93d|2021_03_taking_action_against_hackers_in_china|MD5
10c1f38305792a0f925e8a2cf9482ce3|2021_03_taking_action_against_hackers_in_china|MD5
11e0f3e1c7d8855ed7f1dcfce4b7702a|201808_FamiliarFeeling|MD5
11f47a0f3f1b7e08886a4b6719668ad68405ef0c58fc793efacc778304716cc5|2023_05_malware_iocs|SHA256
124c475d67aa8391f5220efcc64ca5b3|201808_FamiliarFeeling|MD5
13b148aead5e844f7262da768873cec0|201707_InsiderInfo|MD5
13d939b2412c6adbab3cc1b539166671|201512_PackRAT|MD5
1507f7ecc5fe8ef4c90c853d64e1a9f9|2021_04_taking_action_against_hackers_in_palestine|MD5
154cb010e8ac4c50a47f4b218c133b5c7d059f5aff4c2820486e0ae511966e89|2021_04_taking_action_against_hackers_in_palestine|SHA256
15ebe16cd9500de534d5bfd5eeceaf73|201512_PackRAT|MD5
17fe7554e6ca20fde635a7ae1e265f4a23ece32baa7cc8f573e11dce95bd5ed9|2023_05_malware_iocs|SHA256
185062606b168f04b8b583045d300be5|2021_11_action_against_hackers_in_pakistan_and_syria|MD5
19c5f8829444956ba30e023aaaec6408|201707_InsiderInfo|MD5
1b2ada321e2a88d32386efb175787b07dd2098076859a35f715ab1452ada8046|2023_05_malware_iocs|SHA256
1bf438b5744db73eea58379a3b9f30e5|201603_Shifting_Tactics|MD5
1c16ee8b2f0dff7280e1d97522ee7e3f|2021_11_action_against_hackers_in_pakistan_and_syria|MD5
1c3757006f972ca957d925accf8bbb3023550d1b|201605_Stealth_Falcon|SHA1
1e4265a0c37773c2372b97bb6630ae57|201512_PackRAT|MD5
1e6d0b59d4fb7650453c207688385f3a|201512_PackRAT|MD5
205a5502ff0da4a471c4dad0e06c6c57|201803_BadTraffic|MD5
20755b98d7c094747b75b157413e3422|201803_BadTraffic|MD5
2332aa40d15399179c068ab205a5303d|201707_InsiderInfo|MD5
23d284245e53ae4fe05c517d807ffccf|201611_KeyBoy|MD5
250da45d3c509420836958547c8496ab|2021_04_taking_action_against_hackers_in_palestine|MD5
2580f7afb4746b223b14aceab76bd8bc2e4366bfa55ebf203de2715176032525|2021_04_taking_action_against_hackers_in_palestine|SHA256
2827450763b55c5e71fda3caaf8e75f9|201512_PackRAT|MD5
2FC276E1C06C3C78C6D7B66A141213BE|201608_Group5|MD5
2d722592a4e3c8030410dccccb221ce4|201512_PackRAT|MD5
2de51e74fd571319bbf763ec62781096|201512_PackRAT|MD5
2fc276e1c06c3c78c6d7b66a141213be|201608_Group5|MD5
2fcdcc996ef9cbec970dbd2f63edd9fe6bbfd1270e430917f97bec8a0049a800|2023_05_malware_iocs|SHA256
3080cf68721343564e903ca40bf86494cfe8d609d626e7f68ea5feb9b0af947a|2023_05_malware_iocs|SHA256
30BB678DB3AD0140FC33ACD9803385C3|201608_Group5|MD5
30bb678db3ad0140fc33acd9803385c3|201608_Group5|MD5
32bc51088953377d601c6b27ca7484a9|201803_BadTraffic|MD5
33042636a2f9e7e9cecf3ac2f4b6674f9b80338359196a1066a717407887434f|2023_05_malware_iocs|SHA256
35cd9b4f01e643bf367523572fed2e134d69891e4ce4ea1134156bd23e11afd3|2023_05_malware_iocs|SHA256
3632fb080545d3518d57320466f96cb3|201803_BadTraffic|MD5
366908F6C5C4F4329478D60586ECA5BC|201608_Group5|MD5
366908f6c5c4f4329478d60586eca5bc|201608_Group5|MD5
371bc132499f455f06fa80696db0df27|201611_KeyBoy|MD5
3729531c71163cddcded7e70c02a3004|201803_BadTraffic|MD5
397021af7c0284c28db65297a6711235|201604_UP007_SLServer|MD5
3a61d64986ee6529cee271ab6754faa5|201512_PackRAT|MD5
3b869c8e23d66ad0527882fc79ff7237|201603_Shifting_Tactics|MD5
3c0a20f0726032ad816e670971509b2d|2021_03_taking_action_against_hackers_in_china|MD5
3c21c0f64ef7b606abb73b9574d0d66895e180e6d1cf2ad21addd5ade79b69fb|2021_04_taking_action_against_hackers_in_palestine|SHA256
3fda7b2bc654c71f123d6856c7c303a44ecc344ec894bf8d910d67d276be6239|2023_05_malware_iocs|SHA256
40383bee9846ecbd78581402e3379051|201803_BadTraffic|MD5
4320204d577ef8b939115d16110e97ff04cb4f7d1e77ba5ce011d43f74abc7be|201605_Stealth_Falcon|SHA256
43535540e94b39279af925e9548dce7f|2022_04_metas_adversarial_threat_report_q1|MD5
43b39fd4ddc386092372da19f6278c25|201803_BadTraffic|MD5
4461c1d286d4237d61b7a66b228d3983c26f6810e66304f068fada5761d5bc1f|2023_05_malware_iocs|SHA256
449ba12127133ecd0440a558b083468c|201803_BadTraffic|MD5
44ccafb69e61139d9107a87f58133c43b8586931faf620c38c1824057d66d614|2021_04_taking_action_against_hackers_in_palestine|SHA256
461446151be0033a668782c2d7ba58cb|201803_BadTraffic|MD5
494BAB7FD0B42B0B14051ED9ABBD651F|201608_Group5|MD5
494bab7fd0b42b0b14051ed9abbd651f|201608_Group5|MD5
