# Vigil IOC: Malicious IPs
# Format: ip|threat_name|category
103.147.225.210|PhoneSpy|c2
103.242.134.243|201611_KeyBoy|c2
103.40.102.233|201611_KeyBoy|c2
103.55.24.196|201808_FamiliarFeeling|c2
104.18.54.129|iKeyMonitor|c2
104.18.55.129|iKeyMonitor|c2
104.207.132.165|201801_SpyingOnABudget|c2
104.236.73.120|Hoverwatch|c2
104.238.191.204|201702_NilePhish|c2
104.25.169.109|iKeyMonitor|c2
104.25.170.109|iKeyMonitor|c2
104.25.28.15|EasyLogger|c2
104.25.29.15|EasyLogger|c2
104.26.14.56|iKeyMonitor|c2
104.26.15.56|iKeyMonitor|c2
108.178.9.124|SentryPC|c2
108.61.176.96|201702_NilePhish|c2
109.169.40.172|201603_Shifting_Tactics|c2
109.169.77.230|201603_Shifting_Tactics|c2
112.10.117.47|201611_KeyBoy|c2
115.126.39.107|201801_SpyingOnABudget|c2
115.126.86.151|201808_FamiliarFeeling|c2
116.193.154.69|201611_KeyBoy|c2
119.8.35.235|FlexiSpy|c2
138.201.32.118|Spy24|c2
139.59.125.208|AndroidPolice|c2
140.82.17.222|201909_MissingLink|c2
144.202.59.23|201909_MissingLink|c2
149.28.93.11|201909_MissingLink|c2
149.56.26.44|Hoverwatch|c2
157.7.84.81|201611_KeyBoy|c2
158.69.24.236|Hoverwatch|c2
162.144.212.52|Xnore|c2
162.144.75.253|CatWatchful|c2
162.209.103.68|201608_NSO_Group|c2
167.114.114.207|AppSpy|c2
167.71.189.163|TheWiSpy|c2
172.67.194.85|iKeyMonitor|c2
172.67.73.2|iKeyMonitor|c2
172.67.81.216|EasyLogger|c2
172.67.82.183|iKeyMonitor|c2
175.126.146.147|PhoneSpy|c2
176.123.26.42|201702_NilePhish|c2
176.9.42.16|Reptilicus|c2
178.33.203.110|AndroidMonitor|c2
178.62.59.165|Snoopza|c2
179.208.187.216|201512_PackRAT|c2
184.154.69.210|RealtimeSpy|c2
185.2.103.130|MonitorUltra|c2
185.87.51.116|AndroidPolice|c2
186.220.1.84|201512_PackRAT|c2
186.220.11.67|201512_PackRAT|c2
188.130.241.205|Hoverwatch|c2
189.100.148.188|201512_PackRAT|c2
190.20.180.181|201512_PackRAT|c2
190.210.180.181|201512_PackRAT|c2
192.169.243.65|201512_PackRAT|c2
192.241.149.43|201611_KeyBoy|c2
192.253.251.118|201603_Shifting_Tactics|c2
193.105.134.27|201512_PackRAT|c2
198.100.150.203|Hoverwatch|c2
198.12.150.249|201512_PackRAT|c2
198.44.190.85|201510_NGO_Burma|c2
199.38.181.70|FreeAndroidSpy|c2
201.33.21.62|eagleSPY|c2
201.52.24.126|201512_PackRAT|c2
203.189.232.207|201808_FamiliarFeeling|c2
206.189.65.198|201909_MissingLink|c2
210.61.12.153|201604_UP007_SLServer|c2
212.7.195.171|201608_Group5|c2
213.239.228.196|SpyHuman|c2
217.182.176.52|FreeAndroidSpy|c2
217.182.250.165|Snoopza|c2
217.182.54.223|201905_EndlessMayfly|c2
23.239.106.119|201707_InsiderInfo|c2
27.126.176.169|201808_FamiliarFeeling|c2
27.126.186.222|201808_FamiliarFeeling|c2
37.120.162.163|AndroidPolice|c2
43.240.14.37|201707_InsiderInfo|c2
43.251.16.87|201909_MissingLink|c2
45.114.224.147|CatWatchful|c2
45.124.24.39|201707_InsiderInfo|c2
45.125.12.147|201611_KeyBoy|c2
45.127.97.222|201808_FamiliarFeeling|c2
45.32.47.148|201611_KeyBoy|c2
45.32.75.217|201909_MissingLink|c2
45.32.91.137|201909_MissingLink|c2
45.40.135.228|CallSMSTracker|c2
45.63.0.49|201801_SpyingOnABudget|c2
45.76.149.154|201909_MissingLink|c2
45.76.53.26|201909_MissingLink|c2
45.78.79.100|201909_MissingLink|c2
45.79.149.154|ShadySpy|c2
46.105.57.148|Snoopza|c2
46.127.56.109|201603_Shifting_Tactics|c2
46.246.89.246|201512_PackRAT|c2
46.40.125.240|FreeAndroidSpy|c2
47.252.23.40|AndroidPolice|c2
47.88.63.70|ClevGuard|c2
5.54.19.17|201603_Shifting_Tactics|c2
50.28.38.175|EasyPhoneTrack|c2
50.62.133.49|201512_PackRAT|c2
50.63.202.57|201512_PackRAT|c2
51.15.183.209|MobileTrackerFree|c2
51.255.101.144|201905_EndlessMayfly|c2
52.22.130.9|AndroidPolice|c2
52.8.153.44|201608_NSO_Group|c2
52.8.52.166|201608_NSO_Group|c2
52.90.126.68|AndroidPolice|c2
54.251.49.214|201608_NSO_Group|c2
59.188.12.123|201604_UP007_SLServer|c2
66.42.58.59|201909_MissingLink|c2
67.227.193.142|pcTattletale|c2
69.64.74.239|TheTruthSpy|c2
69.64.81.166|TheTruthSpy|c2
69.64.81.49|TheTruthSpy|c2
69.64.81.98|TheTruthSpy|c2
69.64.91.29|TheTruthSpy|c2
78.129.252.159|201603_Shifting_Tactics|c2
78.46.34.14|TalkLog|c2
78.47.16.3|HelloSpy|c2
80.241.216.14|MonitorUltra|c2
80.255.12.237|201705_TaintedLeaks|c2
82.80.202.200|201608_NSO_Group|c2
82.80.202.204|201608_NSO_Group|c2
85.13.206.195|TheOneSpy|c2
85.13.218.229|TheOneSpy|c2
87.117.229.109|201603_Shifting_Tactics|c2
88.198.222.163|201608_Group5|c2
89.32.40.238|201705_TaintedLeaks|c2
89.33.190.8|VIPTrack|c2
89.40.181.119|201705_TaintedLeaks|c2
91.121.70.22|SpyMasterPro|c2
91.196.212.201|LetMeSpy|c2
91.196.212.202|LetMeSpy|c2
95.154.195.159|201603_Shifting_Tactics|c2
95.154.195.171|201603_Shifting_Tactics|c2
95.169.2.57|201909_MissingLink|c2
95.215.44.37|201605_Stealth_Falcon|c2
