# Vigil IOC: Malicious/stalkerware Android packages
# Format: package_name|threat_name|category
Aktualizacja.apps|Spyone|stalkerware
YWZiZDFjZTg2NTZlOGI4NDkyYWJjZDJjZDE5ZTM0Mjk.MzkwMmNhZGFiZGZhMjMyZjQzNTJkYmQ1ODg1ZjI1NzA|Observer|stalkerware
YWZiZDFjZTg2NTZlOGI4NDkyYWJjZDJjZDE5ZTM0Mjk.MzkwMmNhZGFiZGZhMjMyZjQzNTJkYmQ1ODg1ZjI1NzA|Unknown|stalkerware
a.tck.lvmchi|MobileTrackerFree|stalkerware
afs.hbmoczc|AndroidPolice|stalkerware
afs.hbmoczc|MonitorChecker|stalkerware
ahmyth.mine.king.ahmyth|Ahmyth|stalkerware
al.puik.cus|CallShowLite|spyware
and.GuardTrial|MobiStealth|stalkerware
and.LocatorTrial|MobiStealth|stalkerware
android.helper.system|celSpy|stalkerware
android.helper.system|mSpy|stalkerware
android.sys.process|celSpy|stalkerware
android.sys.process|mSpy|stalkerware
apex.hoolom.racecar.app|Apex Race Game|spyware
apk.keylogger|AndroSpy|stalkerware
apk.keylogger|RealtimeSpy|stalkerware
apk.kgl|AndroSpy|stalkerware
apk.kgl|RealtimeSpy|stalkerware
apk.kwoapsnde|AndroSpy|stalkerware
apk.kwoapsnde|RealtimeSpy|stalkerware
apk.screenshotrecorder|AndroSpy|stalkerware
apk.screenshotrecorder|RealtimeSpy|stalkerware
app.EasyLogger|EasyLogger|stalkerware
app.Easylogger|EasyLogger|stalkerware
app.Elogger|EasyLogger|stalkerware
app.childsafetytracker|EasyLogger|stalkerware
app.cybrook.trackvieo|TrackView|stalkerware
app.cybrook.trackviep|TrackView|stalkerware
app.cybrook.trackvieq|TrackView|stalkerware
app.cybrook.trackvier|TrackView|stalkerware
app.cybrook.trackvies|TrackView|stalkerware
app.cybrook.trackviet|TrackView|stalkerware
app.cybrook.trackvieu|TrackView|stalkerware
app.cybrook.trackviev|TrackView|stalkerware
app.cybrook.trackview|TrackView|stalkerware
app.cybrook.trackviex|TrackView|stalkerware
app.cybrook.trackviey|TrackView|stalkerware
app.cybrook.trackviez|TrackView|stalkerware
app.cybrook.trustserv|TrackView|stalkerware
app.lifecircle|TrackView|stalkerware
app.seniorsafety|EasyLogger|stalkerware
app.spy24.spy24installer|Spy24|stalkerware
app.spy24.systemwifi|Spy24|stalkerware
app.trackview.pro|TrackView|stalkerware
app.trackview|TrackView|stalkerware
br.com.appfornecedor.legal|MeuSpy|stalkerware
br.com.cloud.aplicativo|MeuSpy|stalkerware
br.com.cloud.backup|MeuSpy|stalkerware
br.com.daggers.gameap|MeuSpy|stalkerware
br.com.daggers.toshtec|MeuSpy|stalkerware
br.com.eaglespy|eagleSPY|stalkerware
br.com.galaxys.gameap|MeuSpy|stalkerware
br.com.gamelevel.cloudv3|MeuSpy|stalkerware
br.com.gamelevel.playstart|MeuSpy|stalkerware
br.com.maceda.android.antifurtow|AntiFurtoDroid|stalkerware
br.com.monsthers.gameap|MeuSpy|stalkerware
br.com.phonecell.cloud1|MeuSpy|stalkerware
br.com.phonecell.go5ge|MeuSpy|stalkerware
br.com.phonecell.maps|MeuSpy|stalkerware
br.com.phonecell.radio|MeuSpy|stalkerware
br.com.phonecell.services|MeuSpy|stalkerware
br.com.rastreadordenamorado|RastreadorDeNamorado|stalkerware
br.com.rastreadordenamorado|Unknown|stalkerware
br.com.sistema.aplicativo|MeuSpy|stalkerware
bv.vemzye|AndroidPolice|stalkerware
bv.vemzye|MonitorChecker|stalkerware
callerscreen.paper.ringshow|CallerPaper Show|spyware
city.russ.alltrackercorp|AllTracker|stalkerware
city.russ.alltrackerfamily|AllTracker|stalkerware
city.russ.alltrackerinstaller|AllTracker|stalkerware
cmf0.c3b5bm90zq.patch|Hoverwatch|stalkerware
cn.trackview.shentan|TrackView|stalkerware
com.AwamiSolution.smartkeylogger|Hiddad|stalkerware
com.AwamiSolution.smartkeylogger|SmartKeylogger|stalkerware
com.HalogenElement.Frame.TrainPhotoFrame|Train Photo Frame|spyware
com.Pixa.PhotoEditor.PicsArt.CollageMaker.Lightroom.PhotoLab.PixelLab.Pixlr|Pixa: Photo Editor & Collage Maker|spyware
com.USIB.Child.ChildControl|Mitbe|stalkerware
com.Videoeditortfs.pro|Video Editor 2021|spyware
com.abs.provideo_editor|Video Converter Master|spyware
com.accountable2you.ap1|Unknown|stalkerware
com.acetoon.studio.facephoto|Acetoon Photo Cartoon|spyware
com.addtextcoon.shapermoter|Photo Frame PIP Collage Maker|spyware
com.adonarusso.daily.horoscope|ZodiHoroscope - Fortune Finder|spyware
com.ads.optimization|Ad Optimization Meta|spyware
com.ads_manager_helper|Ads Manager Helper|spyware
com.adsagency.socialmng|Ad Manager For Social|spyware
com.afreesmstracker.app|AppSpy|stalkerware
com.agehohn.fpsgame.app|Agent John FPS Game|spyware
com.agpstracker.app|AppSpy|stalkerware
com.aif.tracksp|AiSpyer|stalkerware
com.aisistem.instalao|MeuSpy|stalkerware
com.aixlunro.uqfhkagb|AndroidPolice|stalkerware
com.aixlunro.uqfhkagb|KidLogger|stalkerware
com.aiyi.admin|Cocospy|stalkerware
com.ajygpxjy.bnthtjou|AndroidPolice|stalkerware
com.ajygpxjy.bnthtjou|Unknown|stalkerware
com.alienmanfc6.wheresmyandroid|WheresMyDroid|stalkerware
com.allsite.unlo|Unblocked Website|spyware
com.amazcam.apbest|Best Fun Cam|spyware
com.amazing.psychologyfacts|Psychology Facts|spyware
com.amon|AndroidPolice|stalkerware
